epoch,train_loss,val_loss,val_mean_fg_dice,val_dice_vent,val_dice_nwmh,val_dice_abwmh,val_weighted_score,val_balanced_score,mean_gradient_norm,gradient_alarm_counter,collapse_counter,lr
11,1.1109,1.4895,0.7164,0.8193,0.5962,0.7338,0.6959,0.6935,46.55,0,0,0.0001000
12,1.0876,1.4286,0.7334,0.8381,0.5857,0.7763,0.7124,0.7065,45.71,0,0,0.0001000
13,1.4033,1.5041,0.6615,0.7387,0.5220,0.7237,0.6460,0.6368,129.55,0,1,0.0001000
14,1.1171,1.4468,0.6955,0.7852,0.5621,0.7390,0.6775,0.6714,52.54,0,0,0.0001000
15,1.4973,2.0109,0.4836,0.4315,0.4108,0.6085,0.4940,0.4614,199.81,0,1,0.0001000
16,1.3375,1.5044,0.7076,0.7998,0.5970,0.7259,0.6891,0.6866,56.40,0,0,0.0001000
17,1.0817,1.5838,0.6975,0.7331,0.5913,0.7682,0.6904,0.6784,56.80,0,0,0.0000500
18,1.0571,1.4051,0.7476,0.8329,0.6258,0.7841,0.7306,0.7255,42.97,0,0,0.0000500
19,1.2141,1.4024,0.7420,0.8106,0.6319,0.7834,0.7282,0.7223,105.32,0,0,0.0000500
20,1.2853,1.4118,0.7365,0.8350,0.6018,0.7725,0.7167,0.7118,185.55,0,0,0.0000500
21,1.0731,1.4345,0.6998,0.8086,0.5420,0.7487,0.6780,0.6712,83.59,0,1,0.0000500
22,1.0269,1.3768,0.7234,0.8331,0.5690,0.7680,0.7014,0.6953,67.26,0,0,0.0000500
23,1.0418,1.4023,0.7515,0.8404,0.6315,0.7826,0.7337,0.7295,136.98,0,0,0.0000250
24,1.0067,1.4004,0.7187,0.8198,0.5793,0.7570,0.6985,0.6933,85.43,0,0,0.0000250
25,1.0003,1.4168,0.7325,0.8249,0.6100,0.7625,0.7140,0.7099,90.07,0,0,0.0000250
26,0.9414,1.3452,0.7569,0.8478,0.6278,0.7951,0.7387,0.7335,66.80,0,0,0.0000250
27,0.9481,1.3655,0.7479,0.8500,0.6146,0.7791,0.7275,0.7232,44.88,0,0,0.0000250
28,0.9878,1.3855,0.7583,0.8485,0.6292,0.7971,0.7402,0.7349,79.93,0,0,0.0000250
29,1.0017,1.3733,0.7443,0.8530,0.6089,0.7709,0.7225,0.7189,105.34,0,0,0.0000250
30,0.9657,1.3762,0.7446,0.8306,0.6230,0.7801,0.7274,0.7225,95.12,0,0,0.0000250
31,0.9736,1.4126,0.7490,0.8392,0.6263,0.7814,0.7309,0.7265,111.87,0,0,0.0000250
32,0.9864,1.3435,0.7564,0.8569,0.6296,0.7827,0.7363,0.7328,91.86,0,0,0.0000250
33,0.9344,1.3803,0.7437,0.8485,0.6189,0.7637,0.7227,0.7200,68.79,0,0,0.0000125
34,0.9392,1.3438,0.7474,0.8398,0.6179,0.7847,0.7290,0.7239,90.64,0,0,0.0000125
35,0.9303,1.3329,0.7540,0.8491,0.6283,0.7846,0.7350,0.7308,53.62,0,0,0.0000125
36,0.9084,1.3493,0.7535,0.8463,0.6269,0.7873,0.7349,0.7303,87.42,0,0,0.0000125
37,0.9040,1.3533,0.7523,0.8477,0.6225,0.7866,0.7332,0.7285,81.48,0,0,0.0000063
38,0.9067,1.3451,0.7543,0.8468,0.6256,0.7906,0.7358,0.7309,106.24,0,0,0.0000063
39,0.9128,1.3430,0.7586,0.8528,0.6321,0.7910,0.7398,0.7354,104.27,0,0,0.0000063
40,0.9208,1.3598,0.7519,0.8487,0.6275,0.7795,0.7326,0.7288,78.26,0,0,0.0000063
41,0.9212,1.3792,0.7508,0.8476,0.6285,0.7763,0.7314,0.7280,61.22,0,0,0.0000063
42,0.9090,1.3486,0.7566,0.8548,0.6271,0.7878,0.7369,0.7327,76.43,0,0,0.0000063
43,0.8993,1.3378,0.7527,0.8451,0.6248,0.7881,0.7342,0.7293,83.17,0,0,0.0000063
44,0.9181,1.3438,0.7559,0.8547,0.6275,0.7856,0.7362,0.7321,65.64,0,0,0.0000031
45,0.9103,1.3341,0.7542,0.8530,0.6277,0.7818,0.7344,0.7307,77.90,0,0,0.0000031
46,0.9178,1.3321,0.7579,0.8561,0.6292,0.7883,0.7382,0.7341,66.71,0,0,0.0000031
47,0.9012,1.3305,0.7637,0.8561,0.6409,0.7941,0.7452,0.7411,71.70,0,0,0.0000031
48,0.9209,1.3338,0.7580,0.8564,0.6288,0.7889,0.7383,0.7341,79.42,0,0,0.0000031
49,0.9176,1.3288,0.7602,0.8540,0.6332,0.7935,0.7415,0.7369,78.36,0,0,0.0000031
50,0.9098,1.3260,0.7558,0.8533,0.6263,0.7878,0.7363,0.7319,67.29,0,0,0.0000031
51,0.8995,1.3308,0.7598,0.8549,0.6317,0.7928,0.7408,0.7363,84.79,0,0,0.0000031
52,0.9389,1.3275,0.7584,0.8563,0.6294,0.7897,0.7389,0.7346,93.86,0,0,0.0000016
53,0.9352,1.3218,0.7617,0.8565,0.6317,0.7970,0.7428,0.7380,93.98,0,0,0.0000016
54,0.8988,1.3260,0.7604,0.8590,0.6289,0.7933,0.7407,0.7362,110.00,0,0,0.0000016
55,0.9093,1.3185,0.7614,0.8596,0.6285,0.7960,0.7417,0.7370,108.44,0,0,0.0000016
56,0.9154,1.3134,0.7610,0.8593,0.6283,0.7953,0.7413,0.7366,138.26,0,0,0.0000010
57,0.9158,1.3209,0.7626,0.8598,0.6314,0.7968,0.7432,0.7386,99.51,0,0,0.0000010
58,0.9028,1.3248,0.7615,0.8595,0.6318,0.7931,0.7419,0.7376,126.46,0,0,0.0000010
59,0.8979,1.3273,0.7632,0.8587,0.6365,0.7945,0.7441,0.7399,105.38,0,0,0.0000010
