epoch,train_loss,val_loss,val_mean_fg_dice,val_dice_vent,val_dice_nwmh,val_dice_abwmh,val_weighted_score,val_balanced_score,mean_gradient_norm,gradient_alarm_counter,collapse_counter,lr
1,2.2636,1.9217,0.4156,0.6220,0.2772,0.3476,0.3743,0.3784,278.41,0,0,0.0001000
2,1.6724,1.6509,0.5959,0.7126,0.4572,0.6180,0.5726,0.5696,41.00,0,0,0.0001000
3,1.4315,1.5445,0.6248,0.7668,0.5047,0.6029,0.5964,0.5978,35.81,0,0,0.0001000
4,1.3167,1.5577,0.6475,0.7797,0.5134,0.6495,0.6211,0.6203,43.77,0,0,0.0001000
5,1.2581,1.4523,0.6808,0.7813,0.5694,0.6915,0.6606,0.6590,41.95,0,0,0.0001000
6,1.1642,1.4154,0.6903,0.8042,0.5760,0.6907,0.6675,0.6670,32.26,0,0,0.0001000
7,1.2190,1.6622,0.4636,0.5141,0.3762,0.5003,0.4534,0.4481,239.95,0,1,0.0001000
8,1.2937,1.5646,0.5923,0.6488,0.5001,0.6279,0.5810,0.5758,142.90,0,2,0.0001000
9,1.1930,1.4750,0.6906,0.8053,0.5778,0.6886,0.6676,0.6673,45.44,0,0,0.0000500
10,1.1497,1.4507,0.7114,0.8052,0.6121,0.7169,0.6926,0.6917,60.08,0,0,0.0000500
11,1.1424,1.4652,0.7095,0.8053,0.6118,0.7113,0.6903,0.6897,124.65,0,0,0.0000500
12,1.1413,1.4514,0.6895,0.7878,0.5808,0.6999,0.6698,0.6683,67.14,0,0,0.0000500
13,1.1117,1.4394,0.6957,0.7896,0.5926,0.7049,0.6769,0.6755,70.41,0,0,0.0000500
14,1.1360,1.4315,0.7062,0.8162,0.5950,0.7073,0.6842,0.6836,116.15,0,0,0.0000500
15,1.0970,1.4148,0.7120,0.8196,0.6031,0.7133,0.6905,0.6899,151.70,0,0,0.0000250
16,1.0470,1.4116,0.7223,0.8221,0.6171,0.7276,0.7023,0.7013,182.14,0,0,0.0000250
17,1.0363,1.3863,0.7143,0.8156,0.6032,0.7239,0.6940,0.6925,72.27,0,0,0.0000250
18,1.0697,1.3810,0.7174,0.8304,0.6007,0.7209,0.6947,0.6939,69.44,0,0,0.0000250
19,1.0672,1.3922,0.7177,0.8084,0.6183,0.7264,0.6996,0.6982,175.58,0,0,0.0000250
20,1.0320,1.3650,0.7256,0.8246,0.6255,0.7266,0.7057,0.7052,142.77,0,0,0.0000250
21,1.0290,1.3940,0.7121,0.8384,0.6025,0.6953,0.6868,0.6878,133.35,0,0,0.0000250
22,1.0466,1.4184,0.7181,0.8250,0.6192,0.7100,0.6967,0.6970,132.88,0,0,0.0000250
23,1.0656,1.4405,0.7196,0.8060,0.6268,0.7260,0.7023,0.7013,142.03,0,0,0.0000250
24,1.0496,1.3944,0.6990,0.7864,0.5971,0.7134,0.6815,0.6795,173.13,0,0,0.0000250
25,1.0165,1.3814,0.7317,0.8352,0.6273,0.7326,0.7110,0.7105,134.24,0,0,0.0000125
26,1.0153,1.3700,0.7273,0.8251,0.6238,0.7329,0.7077,0.7067,149.97,0,0,0.0000125
27,1.0184,1.3683,0.7245,0.8279,0.6218,0.7239,0.7039,0.7035,145.83,0,0,0.0000125
28,1.0092,1.3609,0.7282,0.8372,0.6245,0.7228,0.7064,0.7064,104.89,0,0,0.0000125
29,0.9900,1.3640,0.7281,0.8372,0.6242,0.7230,0.7063,0.7064,107.12,0,0,0.0000125
30,0.9955,1.3912,0.7331,0.8237,0.6376,0.7381,0.7150,0.7141,139.20,0,0,0.0000063
31,0.9818,1.3557,0.7301,0.8378,0.6179,0.7345,0.7085,0.7076,195.02,0,0,0.0000063
32,0.9911,1.3688,0.7321,0.8334,0.6286,0.7343,0.7118,0.7112,139.98,0,0,0.0000063
33,1.0067,1.4105,0.7281,0.8256,0.6250,0.7337,0.7086,0.7076,171.28,0,0,0.0000063
34,0.9777,1.3796,0.7356,0.8349,0.6358,0.7360,0.7157,0.7152,160.17,0,0,0.0000063
35,0.9896,1.3702,0.7333,0.8325,0.6345,0.7329,0.7135,0.7131,202.00,0,0,0.0000063
36,1.0076,1.3681,0.7337,0.8289,0.6350,0.7373,0.7147,0.7139,159.09,0,0,0.0000063
37,0.9622,1.3603,0.7337,0.8353,0.6321,0.7338,0.7134,0.7130,136.64,0,0,0.0000063
38,0.9531,1.3702,0.7405,0.8395,0.6403,0.7417,0.7207,0.7201,159.78,0,0,0.0000063
39,1.0085,1.3445,0.7367,0.8395,0.6325,0.7382,0.7162,0.7156,162.31,0,0,0.0000063
40,0.9788,1.3542,0.7404,0.8436,0.6348,0.7429,0.7198,0.7191,155.56,0,0,0.0000063
41,1.0047,1.3594,0.7328,0.8350,0.6270,0.7365,0.7124,0.7116,179.24,0,0,0.0000063
42,0.9858,1.3750,0.7316,0.8247,0.6323,0.7377,0.7129,0.7119,216.40,0,0,0.0000063
43,0.9655,1.3652,0.7415,0.8422,0.6424,0.7400,0.7214,0.7212,202.62,0,0,0.0000031
44,0.9842,1.3481,0.7394,0.8434,0.6359,0.7388,0.7186,0.7182,138.95,0,0,0.0000031
45,0.9771,1.3424,0.7413,0.8465,0.6398,0.7376,0.7203,0.7202,206.15,0,0,0.0000031
46,0.9671,1.3552,0.7398,0.8405,0.6390,0.7397,0.7196,0.7192,295.53,0,0,0.0000031
47,1.0118,1.3447,0.7400,0.8430,0.6366,0.7405,0.7194,0.7190,189.80,0,0,0.0000031
48,0.9691,1.3467,0.7385,0.8413,0.6339,0.7403,0.7179,0.7173,195.37,0,0,0.0000016
49,0.9574,1.3690,0.7368,0.8359,0.6336,0.7408,0.7169,0.7161,288.95,0,0,0.0000016
50,0.9769,1.3611,0.7374,0.8357,0.6345,0.7422,0.7178,0.7169,196.87,0,0,0.0000016
51,0.9638,1.3414,0.7393,0.8472,0.6301,0.7405,0.7177,0.7171,507.96,1,0,0.0000016
52,0.9652,1.3493,0.7414,0.8435,0.6367,0.7441,0.7210,0.7203,192.08,0,0,0.0000010
53,0.9567,1.3468,0.7402,0.8431,0.6345,0.7429,0.7196,0.7189,200.41,0,0,0.0000010
54,0.9732,1.3426,0.7418,0.8475,0.6344,0.7434,0.7206,0.7200,308.24,1,0,0.0000010
55,0.9581,1.3465,0.7425,0.8458,0.6379,0.7437,0.7218,0.7213,229.80,0,0,0.0000010
