epoch,train_loss,val_loss,val_mean_fg_dice,val_dice_vent,val_dice_nwmh,val_dice_abwmh,val_weighted_score,val_balanced_score,mean_gradient_norm,gradient_alarm_counter,collapse_counter,lr
21,0.9467,1.3655,0.7596,0.8537,0.6496,0.7755,0.7408,0.7386,51.44,0,0,0.0000500
22,0.9433,1.5063,0.7280,0.8394,0.6175,0.7273,0.7058,0.7054,40.05,0,0,0.0000500
23,1.3573,1.9252,0.5336,0.4575,0.4599,0.6836,0.5489,0.5071,137.27,0,1,0.0000500
24,1.1388,1.3728,0.7326,0.8441,0.6065,0.7471,0.7103,0.7082,33.92,0,0,0.0000500
25,0.9436,1.3611,0.7424,0.8233,0.6215,0.7825,0.7263,0.7207,41.09,0,0,0.0000500
26,1.0008,1.5104,0.7189,0.8424,0.5918,0.7225,0.6942,0.6933,70.32,0,0,0.0000250
27,1.1915,1.3528,0.7399,0.8559,0.5986,0.7651,0.7167,0.7132,195.62,0,0,0.0000250
28,0.9461,1.5159,0.7473,0.8504,0.6528,0.7387,0.7267,0.7271,96.65,0,0,0.0000250
29,1.3341,1.6088,0.6066,0.7911,0.5070,0.5217,0.5697,0.5739,330.02,1,1,0.0000250
30,1.1151,1.3911,0.7250,0.8185,0.5958,0.7606,0.7062,0.7014,358.34,2,2,0.0000125
31,0.9098,1.3526,0.7568,0.8513,0.6310,0.7882,0.7379,0.7337,39.95,0,0,0.0000063
32,0.8958,1.3389,0.7590,0.8538,0.6365,0.7866,0.7400,0.7363,31.84,0,0,0.0000063
33,0.8931,1.3389,0.7626,0.8551,0.6427,0.7899,0.7441,0.7404,37.20,0,0,0.0000063
34,0.9523,1.3510,0.7539,0.8575,0.6291,0.7750,0.7331,0.7303,65.21,0,0,0.0000063
35,0.9202,1.3476,0.7515,0.8531,0.6178,0.7835,0.7312,0.7268,55.90,0,0,0.0000063
36,0.9526,1.3488,0.7491,0.8466,0.6342,0.7665,0.7296,0.7272,119.72,0,0,0.0000063
37,0.9461,1.4036,0.7533,0.8517,0.6304,0.7778,0.7336,0.7303,88.50,0,0,0.0000063
38,1.0646,1.5332,0.7374,0.8400,0.6212,0.7509,0.7169,0.7149,173.54,0,0,0.0000031
39,1.3638,1.8150,0.6608,0.7239,0.5651,0.6935,0.6482,0.6436,477.75,1,1,0.0000031
40,1.3957,1.7241,0.6834,0.7560,0.5710,0.7233,0.6689,0.6633,497.75,2,2,0.0000031
41,0.8961,1.3415,0.7597,0.8524,0.6378,0.7890,0.7412,0.7372,42.61,0,0,0.0000016
42,0.9106,1.3359,0.7569,0.8499,0.6351,0.7856,0.7383,0.7344,44.58,0,0,0.0000016
43,0.9101,1.3301,0.7576,0.8527,0.6377,0.7824,0.7386,0.7352,59.39,0,0,0.0000016
44,0.8810,1.3287,0.7563,0.8534,0.6356,0.7799,0.7369,0.7337,58.45,0,0,0.0000016
45,0.9054,1.3341,0.7604,0.8525,0.6411,0.7877,0.7420,0.7383,68.12,0,0,0.0000016
46,0.8895,1.3376,0.7607,0.8548,0.6422,0.7853,0.7419,0.7386,78.92,0,0,0.0000016
47,0.9222,1.3351,0.7600,0.8571,0.6396,0.7832,0.7406,0.7374,79.18,0,0,0.0000016
48,0.9359,1.3391,0.7578,0.8567,0.6347,0.7821,0.7381,0.7348,87.63,0,0,0.0000016
49,0.9085,1.3386,0.7556,0.8540,0.6318,0.7809,0.7359,0.7325,75.55,0,0,0.0000016
50,0.9288,1.3425,0.7529,0.8527,0.6279,0.7782,0.7330,0.7296,102.68,0,0,0.0000016
51,0.9377,1.3373,0.7516,0.8518,0.6296,0.7735,0.7316,0.7286,87.00,0,0,0.0000010
52,0.8986,1.3371,0.7553,0.8530,0.6353,0.7777,0.7358,0.7328,109.25,0,0,0.0000010
