epoch,train_loss,val_loss,val_mean_fg_dice,val_dice_vent,val_dice_nwmh,val_dice_abwmh,val_weighted_score,val_balanced_score,mean_gradient_norm,gradient_alarm_counter,collapse_counter,lr
1,2.1281,1.8483,0.4763,0.5994,0.3137,0.5157,0.4516,0.4463,65.63,0,0,0.0001000
2,1.5658,1.6169,0.5381,0.6087,0.3983,0.6073,0.5240,0.5134,38.81,0,0,0.0001000
3,1.3841,1.5883,0.5349,0.4819,0.4038,0.7190,0.5455,0.5014,31.07,0,0,0.0001000
4,1.2887,1.5392,0.6745,0.7607,0.5313,0.7316,0.6573,0.6490,35.06,0,0,0.0001000
5,1.2564,1.5087,0.6545,0.6932,0.5306,0.7398,0.6468,0.6321,87.62,0,0,0.0001000
6,1.2539,1.4885,0.6804,0.7776,0.5289,0.7347,0.6609,0.6532,61.88,0,0,0.0001000
7,1.1798,1.4761,0.6380,0.7942,0.4714,0.6483,0.6067,0.6050,57.58,0,0,0.0001000
8,1.1146,1.4235,0.6999,0.7781,0.5848,0.7368,0.6843,0.6791,32.07,0,0,0.0001000
9,1.1674,1.4895,0.6568,0.7062,0.5342,0.7299,0.6469,0.6350,45.39,0,0,0.0001000
10,1.1472,1.6686,0.6851,0.8159,0.5997,0.6395,0.6589,0.6616,40.19,0,0,0.0001000
11,1.1088,1.4680,0.7169,0.8292,0.5715,0.7500,0.6944,0.6899,34.12,0,0,0.0001000
12,1.1122,1.5093,0.6892,0.7861,0.5521,0.7295,0.6698,0.6643,56.80,0,0,0.0001000
13,1.1348,1.5245,0.6550,0.8068,0.5529,0.6052,0.6246,0.6276,114.58,0,1,0.0001000
14,1.1426,1.4811,0.7060,0.8003,0.6046,0.7130,0.6871,0.6859,55.91,0,0,0.0001000
15,1.1085,1.4074,0.6967,0.7976,0.5931,0.6994,0.6765,0.6758,40.87,0,0,0.0001000
16,0.9673,1.4279,0.7352,0.8292,0.6161,0.7603,0.7164,0.7130,26.10,0,0,0.0000500
17,0.9915,1.3546,0.7482,0.8420,0.6378,0.7647,0.7294,0.7271,27.10,0,0,0.0000500
18,0.9667,1.3593,0.7385,0.8465,0.6252,0.7439,0.7170,0.7159,43.65,0,0,0.0000500
19,0.9938,1.3639,0.7527,0.8393,0.6386,0.7801,0.7353,0.7316,50.04,0,0,0.0000500
20,0.9385,1.3575,0.7571,0.8522,0.6381,0.7809,0.7381,0.7348,89.78,0,0,0.0000500
