epoch,train_loss,val_loss,val_mean_fg_dice,val_dice_vent,val_dice_nwmh,val_dice_abwmh,val_weighted_score,val_balanced_score,mean_gradient_norm,gradient_alarm_counter,collapse_counter,lr
1,2.2230,1.9407,0.3476,0.4874,0.2409,0.3145,0.3196,0.3218,165.50,0,0,0.0001000
2,1.8868,1.8072,0.4638,0.4820,0.3227,0.5866,0.4601,0.4366,275.06,0,0,0.0001000
3,1.6169,1.6189,0.5957,0.6965,0.4519,0.6388,0.5756,0.5696,62.25,0,0,0.0001000
4,1.4415,1.5922,0.6385,0.7663,0.4674,0.6819,0.6130,0.6071,28.98,0,0,0.0001000
5,1.3094,1.5124,0.6446,0.7662,0.5046,0.6629,0.6202,0.6177,31.41,0,0,0.0001000
6,1.2861,1.4756,0.7003,0.8229,0.5662,0.7116,0.6757,0.6740,41.84,0,0,0.0001000
7,1.1944,1.4490,0.6858,0.8121,0.5365,0.7087,0.6605,0.6573,36.82,0,0,0.0001000
8,1.2172,1.4720,0.6987,0.8319,0.5784,0.6857,0.6720,0.6727,58.88,0,0,0.0001000
9,1.1937,1.4977,0.6350,0.7709,0.5170,0.6171,0.6078,0.6089,44.52,0,1,0.0001000
10,1.1805,1.5102,0.7147,0.8214,0.5878,0.7350,0.6934,0.6906,47.23,0,0,0.0001000
11,1.1565,1.5049,0.7240,0.8182,0.6124,0.7415,0.7052,0.7028,61.25,0,0,0.0001000
12,1.1335,1.4788,0.6982,0.7956,0.5711,0.7277,0.6787,0.6747,57.96,0,0,0.0001000
13,1.2360,1.5043,0.6790,0.7833,0.5535,0.7001,0.6581,0.6552,99.79,0,0,0.0001000
14,1.2988,1.5018,0.6349,0.6897,0.5293,0.6856,0.6239,0.6162,98.54,0,1,0.0001000
15,1.2067,1.4434,0.7002,0.7576,0.5901,0.7529,0.6887,0.6807,78.11,0,0,0.0001000
16,1.0486,1.3660,0.7253,0.8195,0.6111,0.7452,0.7064,0.7037,69.57,0,0,0.0000500
17,1.1360,1.4263,0.7009,0.7966,0.5733,0.7328,0.6818,0.6774,95.81,0,0,0.0000500
18,1.0830,1.4317,0.7016,0.8140,0.6004,0.6904,0.6791,0.6797,102.40,0,0,0.0000500
19,1.0563,1.4020,0.7391,0.8366,0.6269,0.7539,0.7196,0.7176,75.91,0,0,0.0000500
20,1.2517,1.6939,0.5892,0.5773,0.4908,0.6994,0.5915,0.5678,269.28,0,1,0.0000500
21,1.3674,1.3983,0.7327,0.8418,0.6131,0.7431,0.7108,0.7092,257.80,0,0,0.0000500
22,1.2313,1.4532,0.7134,0.8142,0.5794,0.7467,0.6933,0.6888,271.62,0,0,0.0000500
23,1.1425,1.4104,0.7043,0.8382,0.5723,0.7024,0.6775,0.6771,110.64,0,0,0.0000500
24,1.0325,1.3626,0.7273,0.8469,0.6030,0.7321,0.7034,0.7024,106.52,0,0,0.0000250
25,1.0098,1.3611,0.7117,0.7977,0.5985,0.7389,0.6945,0.6908,87.92,0,0,0.0000250
26,1.0357,1.3718,0.7106,0.7900,0.6009,0.7411,0.6948,0.6906,86.68,0,0,0.0000250
27,1.0254,1.3798,0.7280,0.8301,0.6151,0.7387,0.7075,0.7059,145.30,0,0,0.0000250
28,1.0074,1.3565,0.7230,0.8421,0.6054,0.7216,0.6992,0.6989,105.77,0,0,0.0000125
29,1.0082,1.3639,0.7365,0.8523,0.6252,0.7319,0.7133,0.7133,154.33,0,0,0.0000125
30,1.0339,1.3738,0.7296,0.8255,0.6173,0.7460,0.7104,0.7081,145.56,0,0,0.0000125
31,1.0673,1.3953,0.7244,0.8275,0.6102,0.7353,0.7037,0.7021,228.73,0,0,0.0000125
